titulares,medio,titulares_norm
maradona: los fiscales rechazaron los pedidos de detención para los médicos,pagina12,maradona fiscal rechazar pedido detención médico
dólar blue hoy: a cuánto cotiza el jueves 01 de julio,pagina12,dólar blue hoy cuánto cotizar jueves 01 julio
tres personas fueron condenadas por fabricar y comercializar barbijos truchos del conicet,pagina12,tres persona ser condenar fabricar comercializar barbijo trucho conicet
viaje de egresados,pagina12,viaje egresado
cae una estrella,pagina12,caer estrella
"editorial octubre presenta “astor piazzolla. momentos”, un libro de colección en el que maría seoane y víctor hugo morales recopilan 30 historias que hacen al mito de “el gran astor”. conseguí la edición limitada del libro+vinilo antes de que se agote. [",pagina12,"editorial octubre presentar "" astor piazzolla momento "" libro colección maría seoane víctor hugo moral recopilar 30 historia hacer mito "" gran astor "" conseguir edición limitado libro+vinilo agotar ["
"“la aljaba”, una revista con historia feminista",pagina12,""" aljaba "" revista historia feminista"
la afip oficializó la suba del reintegro por compras con tarjeta de débito,pagina12,afip oficializar subir reintegro compra tarjeta débito
"""tenemos que abordar este debate con todos los argentinos""
cristina fernández de kirchner envió un contundente mensaje para la oposición. cuestionó el rol que tuvo en el marco de la pandemia y convocó a trabajar en conjunto de manera seria. [",pagina12,""" tener abordar debate argentino "" cristino fernández kirchner enviar contundente mensaje oposición cuestionar rol tener marco pandemia convocar trabajar conjunto manera serio ["
aplicaron por error segundas dosis de astrazeneca a personas que debían recibir la vacuna de sinopharm,pagina12,aplicar error segundo dosis astrazeneca persona deber recibir vacuna sinopharm
coronavirus en argentina: se registraron 21.177 nuevos casos y 469 muertes,pagina12,coronaviru argentino registrar 21177 nuevo caso 469 muerte
"""en 2015 éramos más felices""
en un acto junto a axel kicillof, cristina fernández de kirchner se refirió al endeudamiento contraido por el gobierno de mauricio macri y señaló la importancia abordarlo desde los distintos lugares de responsabilidad. [",pagina12,""" 2015 ser feliz "" acto junto axel kicillof cristino fernández kirchner referir endeudamiento contraido gobierno mauricio macri señalar importancia abordar distinto lugar responsabilidad ["
"avanza en chile la ley de matrimonio igualitario 
chile aprobó el proyecto que permite el matrimonio entre dos personas del mismo sexo, luego de casi 4 años de discusión. se espera que esta semana se discuta en el recinto  por:",pagina12,avanzar chile ley matrimonio igualitario chile aprobar proyecto permitir matrimonio dos persona mismo sexo luego casi 4 año discusión esperar semana discutir recinto
laberintos de la imagen patagónica,pagina12,laberinto imagen patagónico
estudian la importancia de las radios comunitarias en el aislamiento,pagina12,estudiar importancia radio comunitario aislamiento
"""vamos a presionar por el superimpeachment contra bolsonaro"" 
la presidenta del partido de los trabajadores, junto a diputados, dirigentes y congresistas presentaron un ""superpedido"" de ""supeimpeachment"" contra bolsonaro",pagina12,""" ir presionar superimpeachment bolsonaro "" presidenta partido trabajador junto diputado dirigente congresista presentar "" superpedido "" "" supeimpeachment "" bolsonaro"
"""blanco en blanco"": los registros de la crueldad",pagina12,""" blanco blanco "" registro crueldad"
"cristina kirchner: ""tenemos, por responsabilidad histórica, por convicción personal y por representación popular, que abordar este debate con todos los argentinos, piensen como piensen y estén donde estén""",pagina12,"cristina kirchner "" tener responsabilidad histórico convicción personal representación popular abordar debate argentino pensar pensar """
"cristina kirchner: ""tengo la perspectiva de que cuando esta pandemia termine los poderosos van a ser más poderosos, los débiles vamos a ser más débiles, los ricos van a ser más ricos y los pobres van a ser más pobres""",pagina12,"cristina kirchner "" tener perspectiva pandemia terminar poderoso ir ser poderoso débil ir ser débil rico ir ser rico pobre ir ser pobre """
"cristina kirchner: ""queremos escuchar a los que contrajeron la deuda para ver cómo hacemos para pagar esto sin someter al hambre y al escarnio una vez más al pueblo argentino""",pagina12,"cristina kirchner "" querer escuchar contraer deuda ver cómo hacer pagar someter hambre escarnio vez pueblo argentino """
"más colectiveras en el transporte público 
se presentó el programa para la  inclusión de mujeres en actividad del transporte automotor, apuntado a que les resulte más fácil trabajar de choferes de colectivo y micros de media y larga distancia",pagina12,colectivera transporte público presentar programa inclusión mujer actividad transporte automotor apuntar resultar fácil trabajar chofer colectivo micro medio largo distancia
"cristina kirchner: ""este nivel de endeudamiento feroz constitiuye una restricción sin precedentes. nunca tuvimos este volumen de endeudamiento con un organismo como el fmi, que cuando hace acuerdos quiere condicionar las políticas públicas económicas de cada país""",pagina12,"cristina kirchner "" nivel endeudamiento feroz constitir restricción precedente nunca tener volumen endeudamiento organismo fmi hacer acuerdo querer condicionar política público económico cada país """
"cristina kirchner: ""vamos a vacunar a todos los argentinos, nos vamos a cuidar, pese a todo ese bombardeo mediático que se hizo""",pagina12,"cristina kirchner "" ir vacunar argentino ir cuidar pese bombardeo mediático hacer """
"cristina kirchner: ""todos los problemas que teníamos en 2015 se multiplicaron y se agravaron en los cuatro años posteriores hasta el infinito, y surgieron algunos que no teníamos, como la deuda al fmi""",pagina12,"cristina kirchner "" problema tener 2015 multiplicar agravar cuatro año posterior infinito surgir alguno tener deuda fmi """
"""si todos los pibes tienen computadoras y se incorporan al mundo digital, es posible que haya muchos que formen empresas o descubran sus capacidades artísticas"", afirmó la vicepresidenta.",pagina12,""" si pibe tener computadora incorporar mundo digital ser posible haber formar empresa descubrir capacidad artístico "" afirmar vicepresidenta"
"""hace seis años exactamente, en la casa de gobierno, entregábamos la computadora 5 millones del plan conectar igualdad"", recordó cristina fernández de kirchner.",pagina12,""" hacer seis año exactamente casa gobierno entregir computadora 5 millón plan conectar igualdad "" recordar cristina fernández kirchner"
"""qué pandemia distinta hubiera sido para nuestros estudiantes si hubieran tenido lo que les correspondía y les privaron por decisión política"", expresó axel kicillof.",pagina12,""" pandemia distinto haber ser estudiante si haber tener corresponder privar decisión política "" expresar axel kicillof"
"cristina kirchner comparte un acto con axel kicillof en lomas de zamora para presentar el programa ""conectar igualdad lomas"".",pagina12,"cristina kirchner compartir acto axel kicillof loma zamora presentar programa "" conectar igualdad loma """
"""se impone ser feliz porque el capitalismo no acepta la tristeza"" 
almudena sánchez sufrió depresión y creyó que no saldría. su libro fármaco es un fiel reflejo de la enfermedad y los períodos en que sintió que todo era oscuro. ¿qué pensás de lo que dice?",pagina12,""" imponer ser feliz capitalismo aceptar tristeza "" almudeno sánchez sufrir depresión creer salir libro fármaco ser fiel reflejo enfermedad período sentir ser oscuro pensar decir"
cuántas vacunas se aplicaron en junio: el detalle día por día,pagina12,cuánto vacuna aplicar junio detalle día día
la justicia italiana ratificó la cadena perpetua a tres represores chilenos,pagina12,justicia italiano ratificar cadena perpetuo tres represor chileno
"industria argentina 
marcelo figueiras señaló que la semana próxima se liberarían 450.000 dosis del primer componente de la vacuna sputnik v para su aplicación en el país, si el centro de investigación gamaleya de rusia aprueba las muestras enviadas",pagina12,industria argentino marcelo figueiro señalar semana próximo liberar 450000 dosis primero componente vacuna sputnik v aplicación país si centro investigación gamaleyo rusia aprobar muestra enviado
: facundo campazzo y un guiño a la campaña a favor de londra,pagina12,facundo campazzo guiño campaña favor londra
"""gualeguaychú – el país del carnaval"": cruce de registros",pagina12,""" gualeguaychú – país carnaval "" cruce registro"
"el único canal para jóvenes adultos 
 dos fans recuperaron arqueológicamente todo el contenido del mítico canal locomotion y lo exhiben de forma gratuita . conocé la historia de santi y josué en la nota de  para",pagina12,único canal joven adulto dos fan recuperar arqueológicamente contenido mítico canal locomotion exhibir forma gratuito conocé historia santi josué nota
estos son los modelos y precios a los que podés acceder,pagina12,ser modelo precio poder acceder
carl nassib: orgullo y merchandising,pagina12,carl nassar orgullo merchandising
la presencialidad es secundaria,pagina12,presencialidad ser secundario
"roberto salvarezza: “la combinación de vacunas es una estrategia posible""",pagina12,"roberto salvarecer "" combinación vacuna ser estrategia posible """
siete policías suspendidos por esposar y detener a una adolescente de 14 años,pagina12,siete policía suspendido esposar detener adolescente 14 año
copa américa: brasil eliminó a chile y también es semifinalista,pagina12,copa américo brasil eliminar chile ser semifinalista
"""confío en que se la encontrará pronto""",pagina12,""" confiar encontrar pronto """
sergio urribarri trabaja para expandir el riego por goteo en cooperación con israel,pagina12,sergio urribarri trabajar expandir riego goteo cooperación israel
repunte de los bonos,pagina12,repunte bono
investigan a bolsonaro por corrupción,pagina12,investigar bolsonaro corrupción
wimbledon: schwartzman no pudo evitar la eliminación,pagina12,wimbledon schwartzman poder evitar eliminación
santa fe: una diputada del bloque de amalia granata participó de una sesión virtual mientras manejaba,pagina12,santo fe diputada bloque amalia granato participar sesión virtual mientras manejar
"checa este porno, mamona",pagina12,checo porno mamonar
la campaña sucia de macri,pagina12,campaña sucio macri
¿dónde está tehuel? bajo la alfombra,pagina12,dónde tehuel bajo alfombra
la salada,pagina12,salada
dnu para la compra de vacunas: ¿cómo reaccionó la oposición?,pagina12,dnu compra vacuna cómo reaccionar oposición
"""cualquier cosa malvada puede suceder en la calle del terror""",pagina12,""" cualquiera cosa malvado poder suceder calle terror """
"la tv pública emitirá el documental ""se va a acabar""",pagina12,"tv público emitir documental "" ir acabar """
planes procrear y casa propia: adjudicarán 54.175 nuevos créditos para la vivienda,pagina12,plan procrear casa propio adjudicar 54175 nuevo crédito vivienda
crece la presión dentro del pro para que patricia bullrich decline su candidatura,pagina12,crecer presión dentro pro patricia bullrich decline candidatura
"nicolás trotta: ""la ciudad está en condiciones de volver a la presencialidad total""",pagina12,"nicolás trotta "" ciudad condición volver presencialidad total """
lula reconstruye la hegemonía de la izquierda en brasil,pagina12,lula reconstruir hegemonía izquierda brasil
imputaron a un concejal riojano del macrismo por abuso y hostigamiento laboral,pagina12,imputar concejal riojano macrismo abuso hostigamiento laboral
la guerra gaucha pro abrió una grieta en el campo,pagina12,guerra gaucho pro abrir grieta campo
el concierto de la renga,pagina12,concierto renga
qué dice el decreto: el texto completo,pagina12,decir decreto texto completo
“queremos trabajar y generar trabajo”,pagina12,""" querer trabajar generar trabajo """
interna juntos por el cambio: vidal se encamina a encabezar la lista porteña,pagina12,interno junto cambio vidal encaminar encabezar lista porteño
"el fruto rojo de homer, las pibas en tecnología y mucho más",pagina12,fruto rojo homer piba tecnología
maría eugenia vidal se vacunó en la ciudad,pagina12,maría eugenio vidal vacunar ciudad
"a las travas argentinas, salú",pagina12,trava argentino salú
derriban estatuas de las reinas victoria e isabel ii en canadá,pagina12,derribar estatua reina victoria isabel ii canadá
nuevo frazadazo contra las clases presenciales en la ciudad de buenos aires,pagina12,nuevo frazadazo clase presencial ciudad buen aire
los simpson y avengers se juntan en disney +,pagina12,simpson avenger juntar disney +
"copa américa: brasil 1, chile 0",pagina12,copa américo brasil 1 chile 0
comercio con brasil,pagina12,comercio brasil
"estados unidos desalojó bagram, su mayor base aérea en afganistán",pagina12,unido desalojar bagram mayor base aéreo afganistán
messi ya tiene un mural frente a su escuela,pagina12,messi tener mural frente escuela
boy scouts: un pago millonario por décadas de abusos sexuales,pagina12,boy scout pago millonario década abuso sexual
italia y españa son semifinalistas de la eurocopa de fútbol,pagina12,italia españa ser semifinalista eurocopa fútbol
"los detalles sobre el dnu para comprar vacunas de pfizer, moderna y johnson &amp; johnson",pagina12,detalle dnu comprar vacuna pfizer moderno johnson &amp ; johnson
causa peajes: dictan la falta de mérito para exfuncionarios de cambiemos,pagina12,causa peaje dictar falta mérito exfuncionario cambiar
"marcelo gallardo: ""en algún momento voy a dirigir la selección""",pagina12,"marcelo gallardo "" alguno momento ir dirigir selección """
un avión de carga aterrizó de emergencia en el agua frente a la costa de hawái,pagina12,avión carga aterrizar emergencia agua frente costa hawái
racing tiene en la mira a dos ex boca: andrés cubas y sebastián pérez,pagina12,racing tener mira dos ex boca andrés cuba sebastián pérez
perdedores sin trofeo,pagina12,perdedor trofeo
uruguay evalúa aplicar una tercera dosis de refuerzo,pagina12,uruguay evaluar aplicar tercero dosis refuerzo
pilar geijo: la secuelas del coronavirus y sus largos meses de recuperación,pagina12,pilar geigar secuela coronaviru largo mes recuperación
"jallalla mujeres, un grito colectivo por la libertad de milagro sala",pagina12,jallallar mujer grito colectivo libertad milagro sala
richard branson adelanta a jeff bezos en la carrera de viajes al espacio,pagina12,richard branson adelantar jeff bezo carrera viaje espacio
amplían planes de viviendas,pagina12,ampliar plan vivienda
sobreseída por legítima defensa,pagina12,sobreseído legítimo defensa
coronavirus en argentina: se registraron 20.888 nuevos contagios y 614 muertes,pagina12,coronaviru argentino registrar 20888 nuevo contagio 614 muerte
la antártida tuvo este año el día más cálido de la historia,pagina12,antártida tener año día cálido historia
nuevo proyecto de ley para la producción audiovisual,pagina12,nuevo proyecto ley producción audiovisual
copa américa: perú eliminó a paraguay por penales y es semifinalista,pagina12,copa américo perú eliminar paraguay penal ser semifinalista
quirós explicó que combinar vacunas contra la covid es seguro y eficaz,pagina12,quirós explicar combinar vacuna covid ser seguro eficaz
avanza la causa contra los etchevehere,pagina12,avanzar causa etchevehere
cómo será el operativo de aerolíneas argentinas para traer las nuevas vacunas de sinopharm,pagina12,cómo ser operativo aerolínea argentino traer nuevo vacuna sinophar
dólar blue hoy: a cuánto cotiza el viernes 02 de julio,pagina12,dólar blue hoy cuánto cotizar viernes 02 julio
luz verde al impuesto mínimo global a las multinacionales,pagina12,luz verde impuesto mínimo global multinacional
la vacuna de johnson &amp; johnson dio una alta respuesta positiva a la variante delta,pagina12,vacuna johnson &amp ; johnson dar alto respuesta positivo variante delta
elevar una plegaria por vos,pagina12,elevar plegaria
"""la calle del terror"": continuará…",pagina12,""" calle terror "" continuar"
¿y las mujeres afro donde están?,pagina12,mujer afro
cuba ultima detalles para aprobar el uso de su vacuna abdala,pagina12,cuba ultimar detalle aprobar uso vacuna abdalo
maria seoane y víctor hugo morales presentan el libro “astor piazzolla. momentos” de editorial octubre este domingo 4 de julio a las 18 hs desde el canal de youtube de página/12.  activá el recordatorio  [,pagina12,"maria seoane víctor hugo moral presentar libro "" astor piazzolla momento "" editorial octubre domingo 4 julio 18 hs canal youtube página/12 activá recordatorio ["
diputados aprobó la reforma del monotributo que beneficia a 4 millones de contribuyentes,pagina12,diputado aprobar reforma monotributo beneficiar 4 millón contribuyente
"el trasfondo político del dnu para abrir la puerta a las vacunas de pfizer, moderna y johnson &amp; johnson",pagina12,trasfondo político dnu abrir puerta vacuna pfizer moderno johnson &amp ; johnson
¿cuáles son las variantes de covid-19 que se conocen en el mundo y cuáles llegaron a la argentina?,pagina12,cuál ser variante covid-19 conocer mundo cuál llegar argentino
los lobos marinos invadieron las calles del puerto de mar del plata,pagina12,lobo marino invadir calle puerto mar plata
el ministerio de salud detectó dos nuevos casos de coronavirus de la variante delta,pagina12,ministerio salud detectar dos nuevo caso coronaviru variante delta
murió un millonario en bitcoin y la fortuna se puede perder por la falta de claves de acceso,pagina12,morir millonario bitcoin fortuna poder perder falta clave acceso
diputados le dio media sanción a la ley de biocombustibles,pagina12,diputado dar medio sanción ley biocombustible
este domingo leé en página/12 una conversación exclusiva con lula da silva en la que el ex presidente de brasil analiza el profundo impacto del neoliberalismo en américa latina y anticipa su visita a la argentina. [,pagina12,domingo leer página/12 conversación exclusivo lula dar silva ex presidente brasil analizar profundo impacto neoliberalismo américa latino anticipar visita argentino [
¿viva las vegas?,pagina12,vivir vega
copa américa: chile quiere aguarle la fiesta al anfitrión brasil,pagina12,copa américo chile querer aguar fiesta anfitrión brasil
"""la guerra del mañana"": para el lucimiento de los efectos especiales",pagina12,""" guerra mañana "" lucimiento efecto especial"
el teatro colón anunció funciones presenciales,pagina12,teatro colón anunciar función presencial
"santiago maratea, el filántropo",pagina12,santiago maratear filántropo
"córdoba: perpetua para un pastor por abusar 6 años de su hija, quien se suicidó tras denunciar",pagina12,córdoba perpetuo pastor abusar 6 año hija suicidarse tras denunciar
macri puso en duda la transparencia de las elecciones y la jugada le salió mal,pagina12,macri poner duda transparencia elección jugada salir mal
reanudaron las tareas de rescate en el derrumbe de miami,pagina12,reanudar tarea rescate derrumbe miami
liberen a britney: de icono pop a estrella trash,pagina12,liberar britney icono pop estrella trash
detectaron dos nuevos casos de la variante delta en el país.,pagina12,detectar dos nuevo caso variante delta país
"massacre: ""no comulgamos con el rock patriarcal y falocéntrico""",pagina12,"massacre "" comulgar rock patriarcal falocéntrico """
con brillo propio e inigualable,pagina12,brillo propio inigualable
guadalupe lucero: nueva marcha y acompañamiento de susana trimarco,pagina12,guadalupe lucer nuevo marcha acompañamiento susana trimarco
la xenofobia viaja en bondi,pagina12,xenofobia viajar bondi
lo más terrible se aprende enseguida,pagina12,terrible aprender enseguida
imágenes de un conflicto que permanece,pagina12,imagen conflicto permanecer
"“los derechos universales siempre dan resultado""",pagina12,""" derecho universal siempre dar resultado """
"junio, en llamas",pagina12,junio llama
el expediente sain no fue al archivo,pagina12,expediente sain ser archivo
"retiro, más segura y más ordenada",pagina12,retiro seguro ordenado
"ataque comando, ocho fugados y un muerto",pagina12,ataque comando ocho fugado muerto
elecciones en jujuy: milagro sala no podrá votar este domingo,pagina12,elección jujuy milagro sala poder votar domingo
"""hacían el trabajo más sucio""",pagina12,""" hacer trabajo sucio """
jujuy renueva su legislatura en una elección adelantada y en pandemia,pagina12,jujuy renovar legislatura elección adelantado pandemia
"""papeles de ana"", la décima novela de maría inés krimer",pagina12,""" papel ana "" décimo novela maría inés krimer"
fórmula 1: verstappen pica en punta en el gran premio de estiria,pagina12,fórmula 1 verstappen picar punta gran premio estiria
guadalupe lucero: 11 allanamientos simultáneos en distintos barrios de san luis,pagina12,guadalupe lucer 11 allanamiento simultáneo distinto barrio san luis
uno de cada tres argentinos que llega del exterior no cumple con la cuarentena obligatoria,pagina12,cada tres argentino llegar exterior cumplir cuarentena obligatorio
copa américa 2021: se define el grupo de brasil,pagina12,copa américo 2021 definir grupo brasil
miguel etchecolatz enfrenta una audiencia preliminar por un nuevo juicio,pagina12,miguel etchecolatz enfrentar audiencia preliminar nuevo juicio
"milagro sala: ""soy el títere de morales para recaudar votos""",pagina12,"milagro sala "" ser títere moral recaudar voto """
los superhéroes van al rescate,pagina12,superhéro ir rescate
el amor a les hijes se volvió acontecimiento,pagina12,amor hacer volver acontecimiento
miguel etchecolatz enfrentará una audiencia preliminar por un nuevo juicio,pagina12,miguel etchecolatz enfrentar audiencia preliminar nuevo juicio
"axel kicillof: ""la oposición cree que la pandemia limpia cuatro años de neoliberalismo""",pagina12,"axel kicillof "" oposición creer pandemia limpio cuatro año neoliberalismo """
todo lo que pasa en un barrio,pagina12,pasar barrio
lo que no se vio del homenaje de alberto fernández a los muertos por coronavirus,pagina12,ver homenaje alberto fernández muerto coronaviru
"luis ""pulga"" rodríguez jugará en gimnasia de la plata",pagina12,"luis "" pulga "" rodríguez jugar gimnasia plata"
sputnik v: parte un nuevo vuelo de aerolíneas en búsqueda de más vacunas,pagina12,sputnik v partir nuevo vuelo aerolínea búsqueda vacuna
asumió el nuevo ministro de salud del reino unido en medio de un alarmante aumento de contagios de covid-19,pagina12,asumir nuevo ministro salud reino unido medio alarmante aumento contagio covid-19
la sentida despedida a willy crook en redes sociales,pagina12,despedida willy crook red social
marcha contra los crímenes de odio,pagina12,marcha crimen odio
a tres años de la vuelta del fmi,pagina12,tres año vuelta fmi
récord de muertes por coronavirus en moscú debido a la variante delta,pagina12,récord muerte coronaviru moscú debido variante delta
día del orgullo: la agenda pendiente para los derechos de las personas lgtbi+,pagina12,día orgullo agenda pendiente derecho persona lgtbi+
vale decir,pagina12,valer decir
el río que quería vivir,pagina12,río querer vivir
francia: la ultraderecha fracasa en el ballottage regional,pagina12,francia ultraderecha fracasar ballottage regional
"agustín rossi: ""los argentinos elegirán entre futuro y pasado y el pasado se llama mauricio macri""",pagina12,"agustín rossi "" argentino elegir futuro pasado pasado llamar mauricio macri """
la industria pymes se sigue recuperando,pagina12,industria pyme seguir recuperar
baches en la educación porteña,pagina12,bache educación porteño
pezzella admitió que la selección debe mejorar la intensidad en los segundos tiempos,pagina12,pezzella admitir selección deber mejorar intensidad segundo tiempo
uruguay: la oposición se acerca al referéndum para anular una ley neoliberal de lacalle pou,pagina12,uruguay oposición acerca referéndum anular ley neoliberal lacalle pou
"pedro castillo promete un ""gobierno del pueblo"" y envía señales de alivio al mercado",pagina12,"pedro castillo prometer "" gobierno pueblo "" enviar señal alivio mercado"
un costado oculto pero no tanto,pagina12,costar oculto
jubilados: aumentan reintegros por consumo con tarjeta de débito,pagina12,jubilado aumentar reintegro consumo tarjeta débito
"gran avance
""probar dosis de refuerzo es importante para asegurarnos que estamos preparados lo mejor posible para ir por delante de la pandemia"", expresó el director del grupo de vacunas de oxford. [",pagina12,"gran avance "" probar dosis refuerzo ser importante asegurar preparado mejor posible ir delante pandemia "" expresar director grupo vacuna oxford ["
"""la jaula de los onas"", la novela de carlos gamerro que reescribe el discurso de civilización o barbarie",pagina12,""" jaula ona "" novela carlo gamerro reescribir discurso civilización barbarie"
así somos cuando juega la selección,pagina12,así ser jugar selección
la ronda de los desencuentros,pagina12,ronda desencuentro
"se trata de un nuevo ataque de gerardo morales contra la dirigente social, que había solicitado que la habiliten en el padrón.",pagina12,tratar nuevo ataque gerardo moral dirigente social haber solicitar habilitar padrón
agenda,pagina12,agenda
coronavirus: oxford y astrazeneca comienzan a probar una nueva vacuna contra la variante beta,pagina12,coronaviru oxford astrazeneca comenzar probar nuevo vacuna variante beta
los indigentes que la ciudad no ve,pagina12,indigente ciudad ver
la vacunación está tomando un ritmo acelerado  mirá cuándo te toca,pagina12,vacunación tomar ritmo acelerado mirá cuándo tocar
esto fue lo que indicó el reporte diario del ministerio de salud.,pagina12,ser indicar reportar diario ministerio salud
"murió willy crook
el saxofonista, guitarrista, vocalista y compositor de rock argentino tenía 55 años. [",pagina12,morir willy crook saxofonista guitarrista vocalista compositor rock argentino tener 55 año [
desesperada búsqueda de una turista que desapareció mientras hacía kitesurf en san clemente ️,pagina12,desesperado búsqueda turista desaparecer mientras hacer kitesurf san clemente ️
"claudio moroni: ""se van a reabrir las paritarias que hagan falta""",pagina12,"claudio moroni "" ir reabrir paritaria hacer falta """
"""la gente debe saber: la variante delta daña a las personas no vacunadas"", advirtió naftalí bennett.",pagina12,""" gente deber saber variante delta dañar persona vacunado "" advertir naftal bennett"
"wimbledon: federer, djokovic y el eventual vuelco de la historia",pagina12,wimbledon federer djokovic eventual vuelco historia
familias que priorizan la salud,pagina12,familia priorizar salud
"""la política debe tomar nota del psicoanálisis""
jorge alemán reflexionó sobre si (aunque de distinto modo) el psicoanálisis le disputa a la política cambiar la realidad humana. ¿qué pensás de lo que dijo?
[",pagina12,""" política deber tomar nota psicoanálisis "" jorge alemán reflexionar si ( aunque distinto modo ) psicoanálisis disputar política cambiar realidad humano pensar decir ["
el cantante y saxofonista tenía 55 años.,pagina12,cantante saxofonista tener 55 año
"el mito del esfuerzo en américa latina es una gran mentira, tanto desde un criterio de subjetividad como si lo miramos objetivamente en cifras.",pagina12,mito esfuerzo américa latino ser gran mentira criterio subjetividad si mirar objetivamente cifra
otras dos iglesias fueron quemadas en canadá,pagina12,dos iglesia ser quemado canadá
randazzo busca un lugar entre el oficialismo y el macrismo,pagina12,randazzo buscar lugar oficialismo macrismo
el humor de paz - rudy [,pagina12,humor paz - rudy [
el exmandatario se embarcó rumbo a españa sin haber cumplido con los días de aislamiento correspondientes.,pagina12,exmandatario embarcar rumbo españa haber cumplir día aislamiento correspondiente
"""desesperados al reparo"", de warren zevon",pagina12,""" desesperado reparo "" warren zevon"
verstappen dio un golpe de autoridad en el gp de estiria,pagina12,verstappen dar golpe autoridad gp estiria
"el homenaje de alberto fernández a los muertos por coronavirus
el presidente encabezó una ceremonia en homenaje a los fallecidos por la pandemia y aseguró cada uno de ellos siempre será recordado. ¿qué te pareció su discurso? [",pagina12,homenaje alberto fernández muerto coronaviru presidente encabezar ceremonia homenaje fallecido pandemia asegurar cada siempre ser recordar parecer discurso [
"""neo-post"", la gran muestra de pintura geométrica argentina",pagina12,""" neo-poner "" gran muestra pintura geométrico argentino"
“los llevaremos siempre en nuestra memoria”,pagina12,""" llevar siempre memoria """
esto es todo lo que se sabe sobre la efectividad que tiene la vacuna,pagina12,ser saber efectividad tener vacuna
el número de muertos por el derrumbe del edificio residencial champlain towers de miami se elevó a nueve.,pagina12,número muerto derrumbe edificio residencial champlain towers miami elevar nueve
"a pesar de haber estado con el diputado nacional juan manuel lópez que dio positivo de covid, el gobernador se trasladó a un encuentro con el presidente de la nación.",pagina12,pesar haber diputado nacional juan manuel lópez dar positivo covid gobernador trasladar encuentro presidente nación
el último gol de maradona con la selección ante su gente,pagina12,último gol maradona selección gente
"la revolución de las vacunas 
es un hecho que el discurso de los grandes diarios y de la oposición hace agua por todos lados. las vacunas llegaron, son muchas, efectivas y alcanzarán para todos los ciudadanos. [",pagina12,revolución vacuna ser hecho discurso grande diario oposición hacer agua lado vacuna llegar ser efectivo alcanzar ciudadano [
"""las muertes de maradona y griguol me afectaron mucho""",pagina12,""" muerte maradona griguol afectar """
"de la ceremonia participan gobernadores, representantes de los diversos credos del país y de los trabajadores esenciales.",pagina12,ceremonia participar gobernador representante diverso credo país trabajador esencial
alberto fernández encabeza un acto en homenaje a los fallecidos por covid,pagina12,alberto fernández encabezar acto homenaje fallecido covid
"pronto, chicos
la compra de 24 millones de dosis de sinopharm amplía también la estrategia de vacunación de los menores, esencial para lograr la inmunidad de rebaño. por",pagina12,pronto chico compra 24 millón dosis sinopharm ampliar estrategia vacunación menor esencial lograr inmunidad rebaño
verstappen desfiló en estiria y sigue siendo el líder de la fórmula 1,pagina12,verstappen desfilar estiria seguir ser líder fórmula 1
cuando la censura juega su partido,pagina12,censura jugar partido
el impacto de la variante delta en el reino unido,pagina12,impacto variante delta reino unido
confirman que ya son cinco los muertos por el derrumbe en miami,pagina12,confirmar ser cinco muerto derrumbe miami
rusia empezó a distribuir la vacuna sputnik light entre su población,pagina12,rusia empezar distribuir vacuna sputnik light población
para vacunar a casi todos los adultos del país,pagina12,vacunar casi adulto país
"frances ha (2013), de noah baumbach",pagina12,france haber ( 2013 ) noah baumbach
los riesgos evitables de la presencialidad,pagina12,riesgo evitable presencialidad
advertencia violeta por la ola de frío polar,pagina12,advertencia violeta ola frío polar
una opep para el litio,pagina12,opep litio
"pronto, los chicos",pagina12,pronto chico
inevitables,pagina12,inevitable
el atardecer y la luz,pagina12,atardecer luz
suma cero,pagina12,sumar cero
"el nombre, el piano y los zapatos",pagina12,nombre piano zapato
una discusión necesaria,pagina12,discusión necesario
un nuevo frente viene asomando,pagina12,nuevo frente venir asomar
en defensa de los servicios públicos,pagina12,defensa servicio público
vivir en la literatura,pagina12,vivir literatura
"jorge alemán: ""la política debe tomar nota del psicoanálisis""",pagina12,"jorge alemán "" política deber tomar nota psicoanálisis """
sexo en tiempos de revolución,pagina12,sexo tiempo revolución
salí,pagina12,salir
los brujos de la fed,pagina12,brujo fed
efemérides de hoy: qué pasó un 27 de junio,pagina12,efemérid hoy pasar 27 junio
"ernesto ardito: ""el frente de liberación homosexual se adelantó a su tiempo""",pagina12,"ernesto ardito "" frente liberación homosexual adelantar tiempo """
premio internacional de cuento abelardo castillo,pagina12,premio internacional cuento abelardo castillo
perú derrotó a venezuela y finalizó segundo en su zona,pagina12,perú derrotar venezuela finalizar segundo zona
una puesta teatral de cristian drut que pone en crisis el amor familiar,pagina12,puesta teatral cristian drut poner crisis amor familiar
hacia un modelo de uso abierto con participación público-privada,pagina12,hacia modelo uso abierto participación público-privado
"28j: ""hoy estamos festejando la ley de cupo laboral trans""",pagina12,"28j "" hoy festejar ley cupo laboral tran """
la rioja brindará un seguro colectivo para trabajadores de la salud,pagina12,rioja brindar seguro colectivo trabajador salud
un pedido de condena para el falso abogado marcelo d'alessio,pagina12,pedido condena falso abogado marcelo dalessio
"blinken, entre francisco y el estado islámico",pagina12,blinkar francisco islámico
el frío que se sufre en las escuelas porteñas,pagina12,frío sufrir escuela porteño
el uno por uno de la selección argentina,pagina12,selección argentino
